13965, 8104, 4781, 3993, 3107, 2501, 2300, 3038, 4356, 5856, 7448, 7599, 6852, 5856, 3893, 2727, 2013, 742, 609, 1621, 2387, 1969, 259, 1, 0, 
2256, 5239, 7597, 9993, 10075, 8498, 7845, 5394, 3459, 1928, 976, 647, 564, 659, 1111, 1442, 2471, 3104, 3444, 4053, 3594, 6615, 456, 73, 0, 
432, 845, 1427, 2060, 2527, 3110, 3807, 6842, 8080, 10294, 12159, 12172, 14947, 11930, 2064, 432, 93, 31, 23, 11, 4, 2, 0, 0, 0, 
6578, 15331, 2536, 2888, 2713, 2698, 2242, 1727, 1571, 2087, 3524, 5780, 7673, 7030, 6347, 4298, 3855, 4470, 5362, 3590, 2122, 1702, 190, 15, 0, 
2124, 4583, 2142, 2642, 3891, 4117, 3940, 3690, 4777, 6172, 7358, 7531, 8043, 5812, 4356, 5218, 5675, 4898, 3244, 1853, 1174, 890, 370, 32, 0, 
3330, 10314, 6188, 4767, 4329, 4485, 4801, 7517, 8430, 7401, 4254, 2593, 2403, 2003, 1759, 1544, 1752, 1816, 1737, 2744, 3916, 3406, 772, 236, 0, 
4810, 5019, 3342, 3104, 3469, 4116, 4601, 3989, 3374, 3275, 3100, 3064, 3049, 2960, 2977, 3762, 6042, 7605, 4982, 9126, 7151, 522, 355, 74, 0, 
1575, 4290, 5623, 6411, 7164, 7824, 8163, 9374, 9090, 7145, 4448, 3642, 2463, 474, 250, 101, 59, 50, 54, 300, 1184, 9919, 181, 1, 0, 
6173, 6614, 5188, 5864, 5078, 3812, 4326, 8617, 9090, 7897, 5542, 4668, 3426, 2501, 1538, 642, 317, 225, 134, 119, 106, 10102, 178, 0, 0, 
1922, 6423, 10953, 8376, 8173, 10065, 8416, 5877, 4525, 6214, 2468, 668, 403, 323, 286, 286, 274, 248, 262, 290, 436, 13109, 1047, 103, 0, 
1504, 3291, 4095, 4633, 4913, 5768, 10778, 17358, 11795, 4348, 3271, 2778, 2408, 1307, 458, 290, 295, 310, 340, 514, 389, 949, 198, 10, 0, 
2074, 4331, 3905, 3516, 3657, 4256, 5437, 7575, 5741, 5758, 14462, 13262, 6544, 3223, 1685, 1256, 905, 833, 606, 555, 657, 1101, 159, 18, 0, 
2592, 3759, 2562, 2275, 2373, 2450, 2535, 3399, 4173, 6012, 9831, 13299, 12636, 8547, 4907, 2290, 820, 336, 128, 73, 85, 9558, 704, 9, 0, 
8265, 2176, 1581, 2097, 3116, 4073, 5407, 6762, 7384, 8804, 9763, 6943, 2768, 661, 168, 91, 155, 723, 2539, 4801, 2726, 10913, 70, 7, 0, 
6262, 10194, 8304, 6722, 5961, 6054, 6226, 8321, 8474, 6321, 2470, 755, 412, 357, 266, 275, 258, 299, 652, 1596, 2184, 8443, 420, 33, 0, 
1747, 3205, 2705, 2938, 3706, 4649, 5924, 7139, 7210, 8624, 8806, 9296, 6948, 5160, 6564, 4615, 1672, 436, 126, 42, 12, 1, 0, 0, 0, 
2705, 7215, 3542, 3612, 4921, 6590, 7735, 6941, 5168, 3935, 5146, 5204, 5618, 3308, 4213, 3604, 3849, 4933, 833, 552, 379, 228, 154, 38, 0, 
145, 964, 1784, 4189, 7713, 9936, 11736, 9744, 8490, 7509, 6319, 4611, 3110, 2512, 1921, 1506, 1221, 803, 505, 471, 388, 415, 277, 48, 0, 
1359, 1481, 2061, 2252, 2518, 3022, 3585, 5759, 7687, 9981, 13064, 13057, 5837, 1775, 993, 1144, 1631, 2246, 3773, 4450, 3329, 2727, 268, 11, 0, 
675, 1674, 2152, 2186, 2628, 3326, 4128, 6679, 9782, 14892, 16364, 12851, 7376, 3416, 1375, 755, 645, 438, 376, 311, 384, 536, 257, 39, 0, 
1183, 1561, 1684, 1574, 1665, 1651, 1871, 2924, 3530, 4414, 5404, 6467, 8122, 9199, 7704, 5036, 2919, 2826, 7623, 8104, 10358, 180, 17, 1, 0, 
2376, 2138, 1403, 1119, 1011, 1093, 1467, 4331, 7507, 11564, 14387, 12155, 5889, 1869, 668, 266, 897, 1842, 4213, 6954, 7077, 5486, 230, 17, 0, 
2164, 1099, 723, 864, 1374, 2273, 3731, 9031, 9836, 9576, 9432, 7739, 4595, 2923, 2965, 4266, 4361, 4493, 4119, 2794, 1884, 1435, 296, 13, 0, 
2083, 1341, 1982, 3957, 7167, 8686, 7074, 4980, 4928, 5909, 6161, 6290, 5377, 4631, 5179, 5348, 4078, 2943, 2282, 1168, 551, 549, 220, 7, 0, 
139, 175, 216, 297, 562, 927, 1232, 2616, 3823, 6058, 7047, 5684, 4170, 2863, 1813, 1095, 722, 457, 278, 205, 230, 1453, 7910, 8819, 0, 
3564, 4640, 4856, 4967, 5497, 5901, 6407, 7847, 8477, 9123, 9119, 8047, 5796, 3720, 1854, 854, 384, 184, 60, 17, 0, 1, 0, 0, 0, 
1670, 3545, 3618, 3804, 4034, 4421, 4924, 6165, 6688, 7455, 8076, 7967, 7021, 4521, 2417, 1641, 2243, 3971, 5003, 2845, 567, 147, 28, 7, 0, 
67, 1722, 3583, 4797, 6716, 7840, 8140, 8247, 7842, 7672, 8096, 10446, 9371, 4091, 917, 261, 104, 44, 29, 20, 17, 8, 2, 0, 0, 
434, 1535, 2344, 2704, 3335, 3673, 4018, 4238, 4576, 5126, 5736, 6529, 7691, 9357, 9577, 7965, 7815, 5673, 1524, 293, 30, 2, 2, 0, 0, 
201, 876, 1725, 1816, 1859, 1733, 1900, 2464, 2878, 4080, 5547, 8142, 11146, 12089, 9511, 6689, 7440, 8846, 5489, 1732, 109, 15, 2, 0, 0, 
983, 2158, 4235, 7625, 8738, 8882, 8931, 7302, 6426, 5754, 5360, 5243, 4895, 4480, 3378, 2313, 1439, 933, 560, 417, 231, 70, 20, 7, 0, 
427, 1129, 1854, 2384, 3067, 3388, 3957, 5376, 6186, 7082, 7875, 8244, 7609, 7265, 7145, 7884, 6838, 3900, 1613, 430, 79, 15, 1, 0, 0, 
1, 1185, 16908, 9360, 8311, 5027, 5354, 4310, 4389, 5417, 6147, 4910, 5947, 5303, 3519, 1894, 1244, 879, 654, 244, 120, 1889, 123, 0, 0, 
14383, 6331, 3638, 3534, 3304, 2789, 2601, 8983, 7571, 6476, 5484, 5285, 4932, 3187, 1515, 1288, 1357, 1854, 3491, 6538, 90, 700, 57, 0, 0, 
0, 0, 91, 1787, 6766, 7358, 5558, 5852, 8120, 11514, 12525, 11574, 10963, 6500, 2310, 1033, 185, 5, 0, 0, 0, 0, 0, 0, 0, 
860, 5034, 7871, 5917, 5745, 4496, 3213, 6224, 9020, 14879, 15848, 7857, 4646, 1774, 333, 39, 21, 29, 23, 94, 56, 2, 0, 0, 0, 
4427, 6554, 726, 751, 542, 488, 17655, 914, 1078, 2266, 2883, 2493, 1846, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
